date;Gran Prix;circuit length;laps
from 06 to 08 mar;australia;5,278 km;58
from 13 to 15 mar;china;5,451 km;56
from 27 to 29 mar;japan;5,807 km;53
from 10 to 12 apr;bahrain;5,412 km;57
from 17 to 19 apr;saudi arabia;6,174 km;50
from 01 to 03 may;miami;5,412 km;57
from 22 to 24 may;canada;4,361 km;70
from 05 to 07 jun;monaco;3,337 km;78
from 12 to 14 jun;barcelona - catalunya;4,657 km;66
from 26 to 28 jun;austria;4,318 km;71
from 03 to 05 jul;great britain;5,891 km;52
from 17 to 19 jul;belgium;7,004 km;44
from 24 to 26 jul;hungary;4,381 km;70
from 21 to 23 aug;netherlands;4,259 km;72
from 04 to 06 sep;italy;5,793 km;53
from 11 to 13 sep;spain;5,474 km;57
fro 24 to 26 sep;azerbaijan;6,003 km;51
from 09 to 11 oct;singapore;4,927 km;62
from 23 to 25 oct;united states;5,513 km;56
from 30 oct to 01 nov;mexico;4,304 km;71
from 06 to 08 nov;brazil;4,309 km;71
from 19 to 21 nov;las vegas;6,201 km;50
from 27 to 29 nov;qatar;5,419 km;57
from 04 to 06 dec;abu dhabi;5,281 km;58
